"","Strategy","Cost","Effect","Inc_Cost","Inc_Effect","ICER","Status"
"1","No_Treatment",115819.432415172,19.9261064129857,NA,NA,NA,"ref"
"2","Treatment",214696.900698833,20.6125750158393,98877.4682836604,0.686468602853687,144037.859667029,"ND"
